Date,half,Team,Opponent,timeRemaining,playerID,makeMiss,xint,yint,distance,x,y
1/9/2016,2,Princeton,Penn,248,21,2,3,0,3,3.285019586,0.038303501
1/9/2016,2,Princeton,Penn,219,5,1,-2,22,22.1,-2.308881655,22.07313009
1/9/2016,2,Princeton,Penn,142,10,1,-2,2,2.8,-1.599035667,2.322948977
1/9/2016,2,Princeton,Penn,105,5,2,2,3,3.6,2.143480562,3.015392202
1/9/2016,2,Princeton,Penn,37,3,2,-2,4,4.5,-1.655102519,3.646942559
1/9/2016,2,Princeton,Penn,20,3,1,1,10,10,0.570142677,9.938593748
1/9/2016,3,Princeton,Penn,422,21,0,-6,3,6.7,-6.261305385,3.049734099
1/9/2016,3,Princeton,Penn,253,3,0,19,12,22.5,19.16239251,12.03519558
1/9/2016,3,Princeton,Penn,250,14,2,7,0,7,7.311855569,-0.344618256
1/9/2016,3,Princeton,Penn,205,3,0,3,24,24.2,2.990754594,24.10944978
1/9/2016,3,Princeton,Penn,137,3,0,0,4,4,0.368322778,3.862994527
1/9/2016,3,Princeton,Penn,135,25,2,0,3,3,-0.103387901,3.283246508
1/9/2016,3,Princeton,Penn,35,3,0,19,11,22,19.4527042,11.23660074
1/16/2016,1,Brown,Yale,1927,21,0,2,1,2.2,2.363547768,1.429854406
1/16/2016,1,Brown,Yale,1917,21,2,-5,0,5,-4.876019105,-0.001245363
1/16/2016,1,Brown,Yale,1903,21,1,0,0,0,-0.342802674,0.211025284
1/16/2016,1,Brown,Yale,1745,21,0,-2,0,2,-2.165598214,0.255291151
1/16/2016,1,Brown,Yale,1647,12,0,21,7,22.1,21.28000119,7.298260077
1/16/2016,1,Brown,Yale,1532,25,0,2,1,2.2,2.130033376,0.64621875
1/16/2016,1,Brown,Yale,1455,21,0,-2,15,15.1,-2.490497034,14.50346946
1/16/2016,1,Brown,Yale,1416,21,0,-7,6,9.2,-7.119116864,6.317836867
1/16/2016,1,Brown,Yale,1257,21,0,0,22,22,-0.384915788,22.49557018
1/16/2016,1,Brown,Yale,1216,21,2,-1,5,5.1,-1.200793543,5.09266868
1/16/2016,1,Brown,Yale,1120,4,1,-6,2,6.3,-6.202957696,1.789813666
1/16/2016,1,Brown,Yale,936,4,1,1,5,5.1,1.490583664,5.201061424
1/16/2016,1,Brown,Yale,806,5,1,-2,1,2.2,-1.668654074,0.509467659
1/16/2016,1,Brown,Yale,740,5,1,18,12,21.6,17.62107232,12.02957512
1/16/2016,1,Brown,Yale,718,3,1,8,21,22.5,8.489439617,20.96021636
1/16/2016,1,Brown,Yale,645,21,0,-8,21,22.5,-7.661782783,21.26235467
1/16/2016,1,Brown,Yale,643,10,0,-1,22,22,-1.238516357,21.74238188
